"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20191","11","서울시","CS100004","양식음식점","234177340078","6609318","157924880305","76252459773","23956438408","29198606950","31617729625","34445459281","38706646041","43329034544","32923425229","13246054736","1815840439","57371486893","36601116435","82936785851","42206055724","96366217142","98441875461","1898422211","63126599010","55631289439","37874835747","25237584908","11039359387","4543490","2065828","739270","847357","915905","975936","1065022","1131817","934011","257630","127347","2070260","1182391","2265365","706325","2790420","3329252","108816","2341825","1668366","1071381","681176","248061"
"20191","11","서울시","CS300020","서적","137635871447","3355629","110464644101","27171227346","20944009290","21548337666","23248544198","21526411240","23197341707","15611892831","11559334515","1030515","13040999859","36906454628","50575818317","32840914155","4270653973","52378090097","67177874226","4247434185","15255266422","18577956628","40656493206","33341967786","7477102832","2470725","884904","488798","488270","504437","504476","484744","487702","397202","54","250142","798461","1034043","1111656","161273","1383270","1895604","192488","660733","489421","1075132","659463","201645"
"20191","11","서울시","CS300007","육류판매","626895387056","12380476","451253654931","175641732125","84858743519","82881763971","80359578655","98002598980","105150969806","113007836806","62633895319","11986887401","102218094419","160516140671","194405917888","145662573082","12105773595","261301024729","317525719086","215087147","16009293994","64076074443","110227742062","185723595493","202574950632","8371537","4008939","1689918","1482803","1547456","1680214","1971146","2367639","1641300","104299","1224850","2596359","3703418","4446430","305120","4969825","7116376","11519","610682","1691078","2769089","3555169","3448665"
"20191","11","서울시","CS300011","일반의류","1707096520599","27575459","1031561241848","675535278751","166679818352","198010714740","210769479847","212422473207","243678755702","366095900152","309439378599","6574634395","32053348016","350655748325","622998527967","625149138404","69665123492","637374189633","1046734373900","14760594097","279770233352","363084980063","417095494375","373782633607","235618235366","16875327","10700132","2713277","3193869","3478522","3570799","3918860","5671619","5028513","168010","569988","5693854","9361098","10456392","1326117","9527132","17962068","420599","5982669","6046000","6869938","5213145","2956712"
"20191","11","서울시","CS300017","시계및귀금속","224623066423","737456","163000310189","61622756234","30360212542","29544097545","34094156941","34700752153","34301091008","38306079524","23316676710","55499401","5672898697","65576335485","88475467007","63316163197","1526702636","105026877084","102789324186","680890487","26418017425","42894182726","42174010130","58071076249","37577940187","516029","221427","94682","88263","100185","109923","122976","130320","91107","56","30028","176700","277940","236448","16284","290331","418399","12653","207218","170805","131856","108704","77476"
"20191","11","서울시","CS200034","여관","63734671785","1325871","37395335011","26339336774","6178197444","7374045696","7516815356","7298003292","9028273223","14361418295","11977918479","19307758069","4714271342","3967148442","6900356882","15184134861","13661002189","42144383964","13733132673","674804229","21435532455","14889592338","9778315759","6351030402","2748241465","773225","552646","129578","150077","156989","157273","179308","289863","262783","333034","79019","100571","178518","369128","265601","961758","313100","19236","541070","322467","195889","136502","59676"
"20191","11","서울시","CS200026","자동차미용","8966827146","166104","6782733387","2184093759","1216031675","1037048925","1339023368","1631894166","1558735253","1499512352","684581407","96038008","1469034552","2264706960","2944243217","1981050884","211753525","4867731374","1940979652","1741118","488608193","1959136081","2092821233","1419109583","847294816","117244","48860","23228","18960","21404","26338","27314","30258","18602","242","27588","47376","61613","26717","2568","93098","37066","136","10401","37497","39931","27185","15004"
"20191","11","서울시","CS200033","부동산중개업","4310945852","318389","3904960389","405985463","1066157638","693244556","825021405","690419904","630116886","251644273","154341190","27896609","584960503","957896105","1404052717","1095944661","240195257","2527937945","1247874390","1059859","587019487","1102168635","1265441148","627702900","192420307","263927","54462","44703","56374","58057","53507","51286","33535","20927","2332","39584","90629","93447","72036","20361","155690","95907","188","39572","97943","63031","34703","16163"
"20191","11","서울시","CS300002","편의점","852037456880","145853951","619229690007","232807766873","110950549848","120495686808","123782863306","130892855007","133107735038","123025395636","109782371237","112940938733","137225901489","112388854877","109794337534","211387008645","168300415602","542436153209","291393945103","11369620067","251816598707","246145260531","177353590931","105287937042","41857091050","107363432","38490519","19503507","21061410","21615071","22516656","22666788","20304467","18186052","16525643","27711915","21569985","19678265","34740968","25627175","91092155","53491427","3240202","52217266","40426997","26567943","16128558","6002598"
"20191","11","서울시","CS200008","한의원","208085768359","5374728","161419669567","46666098792","34627877023","29931253976","30951434426","31211710972","34697393170","43974804454","2691294338","38855225","21788365893","73245115950","65700401798","46890616819","422412674","79350620419","127007429670","164966172","14340792596","35773648725","55419790015","51069103360","49588957251","4455105","919623","933292","799704","872430","887781","961898","859129","60494","1546","728116","1770417","1605553","1262998","6098","2374605","2986229","11831","360260","799320","1158525","1339831","1691022"
